Age,Attrition,Attrition_num,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime
30,No,0,Travel_Rarely,125,Research & Development,9,2,Medical,Male,Laboratory Technician,3,Single,2206,No
39,Yes,1,Travel_Rarely,895,Sales,5,3,Technical Degree,Male,Sales Representative,4,Married,2086,No
24,Yes,1,Travel_Rarely,813,Research & Development,1,3,Medical,Male,Research Scientist,4,Married,2293,Yes
43,No,0,Travel_Rarely,1273,Research & Development,2,2,Medical,Female,Research Scientist,3,Divorced,2645,No
50,Yes,1,Travel_Rarely,869,Sales,3,2,Marketing,Male,Sales Representative,3,Married,2683,Yes
35,No,0,Travel_Rarely,890,Sales,2,3,Marketing,Female,Sales Representative,4,Married,2014,No
36,No,0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,Female,Research Scientist,1,Married,3419,Yes
33,No,0,Travel_Frequently,1141,Sales,1,3,Life Sciences,Female,Sales Executive,1,Married,5376,No
35,No,0,Travel_Rarely,464,Research & Development,4,2,Other,Male,Laboratory Technician,4,Divorced,1951,No
27,No,0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,Female,Laboratory Technician,1,Divorced,2341,No
26,Yes,1,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,Male,Laboratory Technician,3,Single,2293,No
27,No,0,Travel_Frequently,994,Sales,8,3,Life Sciences,Male,Sales Executive,3,Single,8726,No
30,No,0,Travel_Frequently,721,Research & Development,1,2,Medical,Female,Laboratory Technician,4,Single,4011,No
41,Yes,1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,Female,Research Director,3,Married,19545,No
34,No,0,Non-Travel,1065,Sales,23,4,Marketing,Male,Sales Executive,3,Single,4568,No
37,No,0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,Male,Research Scientist,2,Married,3022,No
46,No,0,Travel_Frequently,1211,Sales,5,4,Marketing,Male,Sales Executive,4,Single,5772,Yes
35,No,0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,Male,Laboratory Technician,4,Married,2269,No
48,Yes,1,Travel_Rarely,626,Research & Development,1,2,Life Sciences,Male,Laboratory Technician,3,Single,5381,Yes
28,Yes,1,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,Male,Laboratory Technician,3,Single,3441,Yes
44,No,0,Travel_Rarely,1488,Sales,1,5,Marketing,Female,Sales Executive,1,Divorced,5454,Yes
35,No,0,Non-Travel,1097,Research & Development,11,2,Medical,Male,Healthcare Representative,1,Married,9884,Yes
26,No,0,Travel_Rarely,1443,Sales,23,3,Marketing,Female,Sales Executive,4,Married,4157,Yes
33,No,0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,Female,Research Director,4,Single,13458,Yes
35,No,0,Travel_Frequently,853,Sales,18,5,Life Sciences,Male,Sales Executive,1,Married,9069,No
35,No,0,Travel_Rarely,1142,Research & Development,23,4,Medical,Female,Laboratory Technician,1,Married,4014,Yes
31,No,0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,Male,Laboratory Technician,4,Divorced,5915,No
37,No,0,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,Male,Manufacturing Director,3,Divorced,5993,No
32,No,0,Travel_Rarely,427,Research & Development,1,3,Medical,Male,Manufacturing Director,4,Married,6162,Yes
38,No,0,Travel_Frequently,653,Research & Development,29,5,Life Sciences,Female,Laboratory Technician,4,Single,2406,No
50,No,0,Travel_Rarely,989,Research & Development,7,2,Medical,Female,Research Director,3,Divorced,18740,Yes
59,No,0,Travel_Rarely,1435,Sales,25,3,Life Sciences,Female,Sales Executive,1,Single,7637,No
36,No,0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,Female,Healthcare Representative,3,Divorced,10096,No
55,No,0,Travel_Rarely,836,Research & Development,8,3,Medical,Female,Manager,3,Divorced,14756,Yes
36,No,0,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,Male,Manufacturing Director,2,Single,6499,No
45,No,0,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,Male,Research Scientist,1,Divorced,9724,No
35,No,0,Travel_Frequently,664,Research & Development,1,3,Medical,Male,Research Scientist,1,Married,2194,No
36,Yes,1,Travel_Rarely,318,Research & Development,9,3,Medical,Male,Research Scientist,3,Married,3388,Yes
59,No,0,Travel_Frequently,1225,Sales,1,1,Life Sciences,Female,Sales Executive,3,Single,5473,No
29,No,0,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,Male,Research Scientist,2,Married,2703,No
31,No,0,Travel_Rarely,1082,Research & Development,1,4,Medical,Male,Research Scientist,2,Single,2501,No
32,No,0,Travel_Rarely,548,Research & Development,1,3,Life Sciences,Male,Research Scientist,2,Married,6220,No
36,No,0,Travel_Rarely,132,Research & Development,6,3,Life Sciences,Female,Laboratory Technician,4,Married,3038,No
31,No,0,Travel_Rarely,746,Research & Development,8,4,Life Sciences,Female,Manufacturing Director,4,Single,4424,No
35,No,0,Travel_Rarely,776,Sales,1,4,Marketing,Male,Sales Executive,1,Single,4312,No
45,No,0,Travel_Rarely,193,Research & Development,6,4,Other,Male,Research Director,1,Married,13245,Yes
37,No,0,Travel_Rarely,397,Research & Development,7,4,Medical,Male,Research Director,3,Single,13664,No
46,No,0,Travel_Rarely,945,Human Resources,5,2,Medical,Male,Human Resources,2,Divorced,5021,Yes
30,No,0,Travel_Rarely,852,Research & Development,1,1,Life Sciences,Male,Laboratory Technician,4,Married,5126,Yes
35,No,0,Travel_Rarely,1214,Research & Development,1,3,Medical,Male,Research Scientist,3,Single,2859,No
55,No,0,Travel_Rarely,111,Sales,1,2,Life Sciences,Male,Sales Executive,4,Married,10239,No
38,No,0,Non-Travel,573,Research & Development,6,3,Medical,Female,Research Scientist,4,Divorced,5329,Yes
34,No,0,Travel_Rarely,1153,Research & Development,1,2,Medical,Male,Manufacturing Director,2,Married,4325,No
56,No,0,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,Male,Manufacturing Director,4,Single,7260,No
23,No,0,Travel_Rarely,541,Sales,2,1,Technical Degree,Male,Sales Representative,1,Divorced,2322,No
51,No,0,Travel_Rarely,432,Research & Development,9,4,Life Sciences,Male,Laboratory Technician,4,Married,2075,No
30,No,0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,Male,Healthcare Representative,4,Married,4152,No
46,Yes,1,Travel_Rarely,669,Sales,9,2,Medical,Male,Sales Executive,4,Single,9619,No
40,No,0,Travel_Frequently,530,Research & Development,1,4,Life Sciences,Male,Healthcare Representative,2,Married,13503,No
51,No,0,Travel_Rarely,632,Sales,21,4,Marketing,Male,Sales Executive,4,Single,5441,Yes
30,No,0,Travel_Rarely,1334,Sales,4,2,Medical,Female,Sales Executive,2,Divorced,5209,Yes
46,No,0,Travel_Frequently,638,Research & Development,1,3,Medical,Male,Healthcare Representative,1,Married,10673,Yes
32,No,0,Travel_Rarely,1093,Sales,6,4,Medical,Male,Sales Executive,3,Single,5010,No
54,No,0,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,Female,Research Director,3,Married,13549,No
24,No,0,Travel_Rarely,1353,Sales,3,2,Other,Female,Sales Executive,3,Married,4999,No
28,No,0,Non-Travel,120,Sales,4,3,Medical,Male,Sales Executive,3,Married,4221,No
58,No,0,Travel_Rarely,682,Sales,10,4,Medical,Male,Sales Executive,3,Single,13872,No
44,No,0,Non-Travel,489,Research & Development,23,3,Medical,Male,Laboratory Technician,2,Married,2042,No
37,Yes,1,Travel_Rarely,807,Human Resources,6,4,Human Resources,Male,Human Resources,1,Divorced,2073,Yes
32,No,0,Travel_Rarely,827,Research & Development,1,1,Life Sciences,Male,Research Scientist,1,Single,2956,No
20,Yes,1,Travel_Frequently,871,Research & Development,6,3,Life Sciences,Female,Laboratory Technician,4,Single,2926,Yes
34,No,0,Travel_Rarely,665,Research & Development,6,4,Other,Female,Research Scientist,3,Single,4809,No
37,No,0,Non-Travel,1040,Research & Development,2,2,Life Sciences,Male,Healthcare Representative,4,Divorced,5163,No
59,No,0,Non-Travel,1420,Human Resources,2,4,Human Resources,Female,Manager,4,Married,18844,No
50,No,0,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,Female,Research Director,2,Married,18172,Yes
25,Yes,1,Travel_Rarely,240,Sales,5,3,Marketing,Male,Sales Executive,3,Single,5744,Yes
25,No,0,Travel_Rarely,1280,Research & Development,7,1,Medical,Male,Research Scientist,4,Married,2889,No
22,No,0,Travel_Rarely,534,Research & Development,15,3,Medical,Female,Laboratory Technician,4,Single,2871,No
51,No,0,Travel_Frequently,1456,Research & Development,1,4,Medical,Female,Healthcare Representative,1,Single,7484,No
34,Yes,1,Travel_Frequently,658,Research & Development,7,3,Life Sciences,Male,Laboratory Technician,3,Single,6074,Yes
54,No,0,Non-Travel,142,Human Resources,26,3,Human Resources,Female,Manager,4,Single,17328,Yes
24,No,0,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,Male,Laboratory Technician,3,Married,2774,No
34,No,0,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,Female,Research Scientist,2,Divorced,4505,No
37,No,0,Travel_Rarely,1189,Sales,3,3,Life Sciences,Male,Sales Executive,4,Single,7428,No
34,No,0,Travel_Rarely,1354,Research & Development,5,3,Medical,Female,Manager,1,Single,11631,No
36,No,0,Travel_Frequently,1467,Sales,11,2,Technical Degree,Female,Sales Executive,4,Married,9738,No
36,No,0,Travel_Rarely,922,Research & Development,3,2,Life Sciences,Female,Laboratory Technician,4,Divorced,2835,No
43,No,0,Travel_Frequently,394,Sales,26,2,Life Sciences,Male,Manager,4,Married,16959,Yes
30,No,0,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,Male,Research Scientist,3,Divorced,2613,No
33,No,0,Non-Travel,750,Sales,22,2,Marketing,Male,Sales Executive,2,Married,6146,No
56,Yes,1,Travel_Rarely,441,Research & Development,14,4,Life Sciences,Female,Research Scientist,2,Married,4963,Yes
51,No,0,Travel_Rarely,684,Research & Development,6,3,Life Sciences,Male,Research Director,3,Single,19537,No
31,Yes,1,Travel_Rarely,249,Sales,6,4,Life Sciences,Male,Sales Executive,3,Married,6172,Yes
26,No,0,Travel_Rarely,841,Research & Development,6,3,Other,Female,Research Scientist,2,Married,2368,No
58,Yes,1,Travel_Rarely,147,Research & Development,23,4,Medical,Female,Healthcare Representative,4,Married,10312,No
19,Yes,1,Travel_Rarely,528,Sales,22,1,Marketing,Male,Sales Representative,3,Single,1675,Yes
22,No,0,Travel_Rarely,594,Research & Development,2,1,Technical Degree,Male,Laboratory Technician,4,Married,2523,No
49,No,0,Travel_Rarely,470,Research & Development,20,4,Medical,Female,Manufacturing Director,1,Married,6567,No
43,No,0,Travel_Frequently,957,Research & Development,28,3,Medical,Female,Research Scientist,3,Single,4739,No
50,No,0,Travel_Frequently,809,Sales,12,3,Marketing,Female,Sales Executive,4,Single,9208,No
31,Yes,1,Travel_Rarely,542,Sales,20,3,Life Sciences,Female,Sales Executive,3,Married,4559,Yes
41,No,0,Travel_Rarely,802,Sales,9,1,Life Sciences,Male,Sales Executive,3,Divorced,8189,Yes
26,No,0,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,Female,Human Resources,3,Married,2942,No
36,No,0,Travel_Rarely,216,Research & Development,6,2,Medical,Male,Manufacturing Director,2,Divorced,4941,No
51,Yes,1,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,Male,Manufacturing Director,4,Single,10650,No
39,No,0,Travel_Rarely,1329,Sales,4,4,Life Sciences,Female,Sales Executive,3,Married,5902,No
25,No,0,Travel_Rarely,959,Sales,28,3,Life Sciences,Male,Sales Executive,3,Married,8639,No
30,No,0,Travel_Rarely,1240,Human Resources,9,3,Human Resources,Male,Human Resources,4,Married,6347,Yes
32,Yes,1,Travel_Rarely,1033,Research & Development,9,3,Medical,Female,Laboratory Technician,1,Single,4200,No
45,No,0,Travel_Rarely,1316,Research & Development,29,3,Medical,Male,Research Scientist,4,Single,3452,No
38,No,0,Travel_Rarely,364,Research & Development,3,5,Technical Degree,Female,Research Scientist,3,Single,4317,Yes
30,No,0,Travel_Rarely,438,Research & Development,18,3,Life Sciences,Female,Research Scientist,3,Single,2632,No
32,No,0,Travel_Frequently,689,Sales,9,2,Medical,Male,Sales Executive,4,Divorced,4668,No
30,No,0,Travel_Rarely,201,Research & Development,5,3,Technical Degree,Female,Research Scientist,1,Divorced,3204,No
30,No,0,Travel_Rarely,1427,Research & Development,2,1,Medical,Male,Laboratory Technician,4,Single,2720,No
41,No,0,Travel_Frequently,857,Research & Development,10,3,Life Sciences,Male,Manager,1,Divorced,17181,No
41,No,0,Travel_Rarely,933,Research & Development,9,4,Life Sciences,Male,Laboratory Technician,1,Married,2238,No
19,No,0,Travel_Rarely,1181,Research & Development,3,1,Medical,Female,Laboratory Technician,2,Single,1483,No
40,No,0,Travel_Frequently,1395,Research & Development,26,3,Medical,Female,Research Scientist,2,Divorced,5605,No
35,No,0,Travel_Rarely,662,Sales,1,5,Marketing,Male,Sales Executive,2,Married,7295,No
53,No,0,Travel_Rarely,1436,Sales,6,2,Marketing,Male,Sales Representative,3,Married,2306,Yes
45,No,0,Travel_Rarely,194,Research & Development,9,3,Life Sciences,Male,Laboratory Technician,2,Divorced,2348,No
32,No,0,Travel_Frequently,967,Sales,8,3,Marketing,Female,Sales Executive,4,Single,8998,No
29,No,0,Non-Travel,1496,Research & Development,1,1,Technical Degree,Male,Manufacturing Director,3,Married,4319,No
51,No,0,Travel_Rarely,1169,Research & Development,7,4,Medical,Male,Manufacturing Director,3,Married,6132,No
58,No,0,Travel_Rarely,1145,Research & Development,9,3,Medical,Female,Research Scientist,2,Married,3346,Yes
40,No,0,Travel_Rarely,630,Sales,4,4,Marketing,Male,Sales Executive,4,Married,10855,No
34,No,0,Travel_Frequently,303,Sales,2,4,Marketing,Female,Sales Representative,3,Married,2231,No
22,No,0,Travel_Rarely,1256,Research & Development,19,1,Medical,Male,Research Scientist,4,Married,2323,No
27,No,0,Non-Travel,691,Research & Development,9,3,Medical,Male,Research Scientist,2,Divorced,2024,No
28,No,0,Travel_Rarely,440,Research & Development,21,3,Medical,Male,Research Scientist,4,Married,2713,No
57,No,0,Travel_Rarely,334,Research & Development,24,2,Life Sciences,Male,Healthcare Representative,4,Divorced,9439,Yes
27,No,0,Non-Travel,1450,Research & Development,3,3,Medical,Male,Research Scientist,3,Divorced,2566,Yes
50,No,0,Travel_Rarely,1452,Research & Development,11,3,Life Sciences,Female,Manager,2,Single,19926,No
41,No,0,Travel_Rarely,465,Research & Development,14,3,Life Sciences,Male,Research Scientist,3,Divorced,2451,No
30,No,0,Travel_Rarely,1339,Sales,5,3,Life Sciences,Female,Sales Executive,4,Married,9419,No
38,No,0,Travel_Rarely,702,Sales,1,4,Life Sciences,Female,Sales Executive,4,Single,8686,No
32,No,0,Travel_Rarely,120,Research & Development,6,5,Life Sciences,Male,Research Scientist,3,Single,3038,No
27,No,0,Travel_Rarely,1157,Research & Development,17,3,Technical Degree,Male,Research Scientist,2,Married,3058,Yes
19,Yes,1,Travel_Frequently,602,Sales,1,1,Technical Degree,Female,Sales Representative,1,Single,2325,No
36,No,0,Travel_Frequently,1480,Research & Development,3,2,Medical,Male,Laboratory Technician,2,Single,2088,No
30,No,0,Non-Travel,111,Research & Development,9,3,Medical,Male,Laboratory Technician,1,Divorced,3072,No
45,No,0,Travel_Rarely,1268,Sales,4,2,Life Sciences,Female,Sales Executive,1,Divorced,5006,Yes
56,No,0,Travel_Rarely,713,Research & Development,8,3,Life Sciences,Female,Research Scientist,1,Divorced,4257,Yes
33,No,0,Travel_Rarely,134,Research & Development,2,3,Life Sciences,Male,Research Scientist,4,Single,2500,No
19,Yes,1,Travel_Rarely,303,Research & Development,2,3,Life Sciences,Male,Laboratory Technician,4,Single,1102,No
46,No,0,Travel_Rarely,526,Sales,1,2,Marketing,Female,Sales Executive,1,Divorced,10453,No
38,No,0,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,Female,Laboratory Technician,4,Single,2288,No
31,No,0,Travel_Rarely,140,Research & Development,12,1,Medical,Female,Research Scientist,4,Married,3929,Yes
34,No,0,Travel_Rarely,629,Research & Development,27,2,Medical,Female,Research Scientist,2,Single,2311,No
41,Yes,1,Travel_Rarely,1356,Sales,20,2,Marketing,Female,Sales Representative,2,Single,3140,Yes
50,No,0,Travel_Rarely,328,Research & Development,1,3,Medical,Male,Laboratory Technician,3,Married,3690,No
53,No,0,Travel_Rarely,1084,Research & Development,13,2,Medical,Female,Manufacturing Director,1,Divorced,4450,No
33,No,0,Travel_Rarely,931,Research & Development,14,3,Medical,Female,Research Scientist,2,Married,2756,No
40,No,0,Travel_Rarely,989,Research & Development,4,1,Medical,Female,Manager,3,Married,19033,No
55,No,0,Travel_Rarely,692,Research & Development,14,4,Medical,Male,Research Director,2,Single,18722,No
34,No,0,Travel_Frequently,1069,Research & Development,2,1,Life Sciences,Male,Manufacturing Director,3,Married,9547,No
51,No,0,Travel_Rarely,313,Research & Development,3,3,Medical,Female,Healthcare Representative,2,Single,13734,No
52,No,0,Travel_Rarely,699,Research & Development,1,4,Life Sciences,Male,Manager,3,Married,19999,No
27,No,0,Travel_Rarely,894,Research & Development,9,3,Medical,Female,Research Scientist,2,Single,2279,No
35,Yes,1,Travel_Rarely,556,Research & Development,23,2,Life Sciences,Male,Manufacturing Director,3,Married,5916,Yes
43,No,0,Non-Travel,1344,Research & Development,7,3,Medical,Male,Research Scientist,4,Divorced,2089,No
45,No,0,Non-Travel,1195,Research & Development,2,2,Medical,Male,Manager,4,Married,16792,No
37,No,0,Travel_Rarely,290,Research & Development,21,3,Life Sciences,Male,Research Scientist,1,Married,3564,Yes
35,No,0,Travel_Frequently,138,Research & Development,2,3,Medical,Female,Laboratory Technician,2,Single,4425,No
42,No,0,Non-Travel,926,Research & Development,21,2,Medical,Female,Manufacturing Director,3,Divorced,5265,No
38,No,0,Travel_Rarely,1261,Research & Development,2,4,Life Sciences,Male,Manufacturing Director,3,Married,6553,No
38,No,0,Travel_Rarely,1084,Research & Development,29,3,Technical Degree,Male,Manufacturing Director,4,Married,6261,No
27,No,0,Travel_Frequently,472,Research & Development,1,1,Technical Degree,Male,Manufacturing Director,1,Married,4298,No
49,No,0,Non-Travel,1002,Research & Development,18,4,Life Sciences,Male,Manufacturing Director,4,Divorced,6804,Yes
34,No,0,Travel_Frequently,878,Research & Development,10,4,Medical,Male,Research Scientist,3,Divorced,3815,Yes
40,No,0,Travel_Rarely,905,Research & Development,19,2,Medical,Male,Laboratory Technician,4,Married,2741,Yes
38,Yes,1,Travel_Rarely,1180,Research & Development,29,1,Medical,Male,Healthcare Representative,1,Married,6673,Yes
29,Yes,1,Travel_Rarely,121,Sales,27,3,Marketing,Female,Sales Executive,4,Married,7639,No
22,No,0,Travel_Rarely,1136,Research & Development,5,3,Life Sciences,Male,Research Scientist,2,Divorced,2328,Yes
36,No,0,Travel_Frequently,635,Research & Development,18,1,Medical,Female,Laboratory Technician,4,Single,2153,No
40,No,0,Non-Travel,1151,Research & Development,9,5,Life Sciences,Male,Healthcare Representative,4,Married,4876,No
46,No,0,Travel_Rarely,644,Research & Development,1,4,Medical,Male,Healthcare Representative,1,Divorced,9396,No
32,Yes,1,Travel_Rarely,1045,Sales,4,4,Medical,Male,Sales Executive,4,Married,10400,No
30,No,0,Non-Travel,829,Research & Development,1,1,Life Sciences,Male,Manufacturing Director,3,Single,8474,No
27,No,0,Travel_Frequently,1242,Sales,20,3,Life Sciences,Female,Sales Executive,3,Single,9981,No
51,No,0,Travel_Rarely,1469,Research & Development,8,4,Life Sciences,Male,Research Director,2,Married,12490,No
30,Yes,1,Travel_Rarely,1005,Research & Development,3,3,Technical Degree,Female,Research Scientist,1,Single,2657,Yes
41,No,0,Travel_Rarely,896,Sales,6,3,Life Sciences,Female,Manager,4,Single,13591,Yes
30,Yes,1,Travel_Frequently,334,Sales,26,4,Marketing,Female,Sales Executive,1,Single,6696,No
29,Yes,1,Travel_Rarely,992,Research & Development,1,3,Technical Degree,Male,Research Scientist,3,Single,2058,No
45,No,0,Non-Travel,1052,Sales,6,3,Medical,Female,Sales Executive,4,Single,8865,No
54,No,0,Travel_Rarely,1147,Sales,3,3,Marketing,Female,Sales Executive,1,Married,5940,No
36,No,0,Travel_Rarely,1396,Research & Development,5,2,Life Sciences,Male,Laboratory Technician,2,Single,5914,No
33,No,0,Travel_Rarely,147,Research & Development,4,4,Medical,Female,Research Scientist,2,Married,2622,No
37,No,0,Travel_Frequently,663,Research & Development,11,3,Other,Male,Research Director,4,Divorced,12185,Yes
38,No,0,Travel_Rarely,119,Sales,3,3,Life Sciences,Male,Sales Executive,3,Divorced,10609,No
31,No,0,Non-Travel,979,Research & Development,1,4,Medical,Male,Manufacturing Director,3,Married,4345,No
59,No,0,Travel_Rarely,142,Research & Development,3,3,Life Sciences,Male,Research Scientist,4,Married,2177,No
37,No,0,Travel_Frequently,319,Sales,4,4,Marketing,Male,Sales Representative,4,Divorced,2793,No
29,No,0,Travel_Frequently,1413,Sales,1,1,Medical,Female,Sales Executive,4,Married,7918,No
35,No,0,Travel_Frequently,944,Sales,1,3,Marketing,Female,Sales Executive,3,Single,8789,No
29,Yes,1,Travel_Rarely,896,Research & Development,18,1,Medical,Male,Research Scientist,4,Single,2389,Yes
52,No,0,Travel_Rarely,1323,Research & Development,2,3,Life Sciences,Female,Laboratory Technician,4,Single,3212,No
42,No,0,Travel_Rarely,532,Research & Development,4,2,Technical Degree,Male,Manager,4,Married,19232,No
59,No,0,Travel_Rarely,818,Human Resources,6,2,Medical,Male,Human Resources,3,Married,2267,No
50,No,0,Travel_Rarely,854,Sales,1,4,Medical,Female,Manager,4,Divorced,19517,No
33,Yes,1,Travel_Rarely,813,Research & Development,14,3,Medical,Male,Laboratory Technician,4,Married,2436,Yes
43,No,0,Travel_Rarely,1034,Sales,16,3,Marketing,Female,Manager,4,Married,16064,Yes
33,Yes,1,Travel_Rarely,465,Research & Development,2,2,Life Sciences,Female,Laboratory Technician,1,Married,2707,No
52,No,0,Non-Travel,771,Sales,2,4,Life Sciences,Male,Manager,3,Single,19068,Yes
32,No,0,Travel_Rarely,1401,Sales,4,2,Life Sciences,Female,Sales Representative,2,Married,3931,No
32,Yes,1,Travel_Rarely,515,Research & Development,1,3,Life Sciences,Male,Laboratory Technician,3,Single,3730,Yes
39,No,0,Travel_Rarely,1431,Research & Development,1,4,Medical,Female,Laboratory Technician,3,Divorced,2232,No
32,No,0,Non-Travel,976,Sales,26,4,Marketing,Male,Sales Executive,4,Married,4465,No
41,No,0,Travel_Rarely,1411,Research & Development,19,2,Life Sciences,Male,Research Scientist,1,Divorced,3072,No
40,No,0,Travel_Rarely,1300,Research & Development,24,2,Technical Degree,Male,Research Scientist,4,Divorced,3319,No
45,No,0,Travel_Rarely,252,Research & Development,1,3,Other,Male,Manager,4,Married,19202,No
31,No,0,Travel_Frequently,1327,Research & Development,3,4,Medical,Male,Research Director,3,Divorced,13675,No
33,No,0,Travel_Rarely,832,Research & Development,5,4,Life Sciences,Female,Research Scientist,4,Married,2911,No
34,No,0,Travel_Rarely,470,Research & Development,2,4,Life Sciences,Male,Manufacturing Director,1,Married,5957,No
37,No,0,Travel_Rarely,1017,Research & Development,1,2,Medical,Female,Research Scientist,1,Married,3920,No
45,No,0,Travel_Frequently,1199,Research & Development,7,4,Life Sciences,Male,Manufacturing Director,3,Married,6434,No
37,Yes,1,Travel_Frequently,504,Research & Development,10,3,Medical,Male,Manufacturing Director,3,Divorced,10048,No
39,No,0,Travel_Frequently,505,Research & Development,2,4,Technical Degree,Female,Healthcare Representative,3,Single,10938,No
29,No,0,Travel_Rarely,665,Research & Development,15,3,Life Sciences,Male,Research Scientist,4,Single,2340,No
42,No,0,Travel_Rarely,916,Research & Development,17,2,Life Sciences,Female,Research Scientist,1,Single,6545,Yes
29,No,0,Travel_Rarely,1247,Sales,20,2,Marketing,Male,Sales Executive,4,Divorced,6931,No
